year,age_gp,sex,race,edclass,tmort,lvdcmort,hlvdcmort,dmmort,ihdmort,istrmort,hyphdmort,audmort,uijmort,mvaccmort,ijmort,restmort
2000,45,2,"4-Others","College",203.0882,2.4,1,1.166667,4.717949,1,0,0,3,5.428571,9.1875,174.3717
2000,50,1,"1-WNH","LEHS",22945.18,1033.461,30.85106,657.2411,5254.762,66.05608,233.8257,357.2097,695.2166,686.0428,792.2994,13137.68
2000,50,1,"1-WNH","SomeC",8270.214,353.7782,9.574468,236.986,1853.622,27.70094,111.6465,111.0835,267.5563,263.8626,374.1115,4659.746
2000,50,1,"1-WNH","College",8439.606,323.7607,9.574468,232.7729,1836.616,20.24299,89.52785,118.7069,277.2271,281.0945,452.589,4798.569
2000,50,1,"2-BNH","LEHS",7836.226,277.6,6.857143,267.2083,1241.52,42,220.2778,137.8209,184.9109,179.6226,47.96154,5232.121
2000,50,1,"2-BNH","SomeC",1603.992,52.60968,0,66.25,262.779,12,58.74074,15.71642,22.9703,38.16981,24.53846,1049.135
2000,50,1,"2-BNH","College",981.7826,16.79032,1.142857,37.54167,173.7014,6,25.98148,8.462687,24.11881,20.20755,14.5,652.7446
2000,50,1,"3-Hisp","LEHS",2727.195,288.2883,6,116.2754,439.719,12.92308,31.23077,60.92593,73.87059,128.7868,60.42105,1509.558
2000,50,1,"3-Hisp","SomeC",444.8387,37.8773,1,16.46377,79.85213,1.076923,8.615385,6.481482,13.91765,18.23529,12.94737,247.9989
2000,50,1,"3-Hisp","College",278.9666,16.83436,0,9.26087,56.42884,0,2.153846,2.592592,3.211765,7.977941,8.631579,171.4427
2000,50,1,"4-Others","LEHS",967.5062,50.4,1,30.69231,195.44,5,15.19048,29.33333,37.09091,40.92593,25.2766,541.1622
2000,50,1,"4-Others","SomeC",317.6706,24.55385,1,12.05769,54.67667,1,8.285714,0,16.07273,13.24074,10.34043,175.5448
2000,50,1,"4-Others","College",463.8232,9.046154,1,14.25,98.88333,1,5.523809,3.666667,14.83636,10.83333,18.38298,283.293
2000,50,2,"1-WNH","LEHS",14518.91,358.9159,4.571429,520.5137,1710.602,62.7907,94.14179,78.21094,207.2548,280.1522,260.4031,10939.54
2000,50,2,"1-WNH","SomeC",5167.37,139.9877,3.428571,173.8579,526.8272,13.60465,32.46269,33.04688,93.91233,129.9565,131.7829,3888.619
2000,50,2,"1-WNH","College",4617.717,102.0963,0,81.62842,284.5713,13.60465,18.39552,29.74219,92.83288,128.8913,151.8139,3715.839
2000,50,2,"2-BNH","LEHS",4751.914,95.86885,1,277.2989,665.2938,27.52941,115.7324,27.31034,55.64516,60,15.03704,3411.627
2000,50,2,"2-BNH","SomeC",1335.13,25.63935,1,73.20689,166.0521,6.882353,36.23944,6.206897,14.51613,24.44444,8.592592,972.5453
2000,50,2,"2-BNH","College",856.9567,14.4918,0,35.49425,84.65403,4.588235,14.02817,2.482759,4.83871,15.55556,5.37037,674.8274
2000,50,2,"3-Hisp","LEHS",1514.477,63.72222,1,103.525,146.7151,6,18.78947,7.5,20.86957,44.42308,15.75,1086.32
2000,50,2,"3-Hisp","SomeC",269.1013,9.25,0,15.375,21.57576,1,2.210526,1.25,2.086957,6.346154,3.15,206.6709
2000,50,2,"3-Hisp","College",131.4216,1.027778,0,4.1,9.709091,0,0,1.25,1.043478,4.230769,2.1,108.0089
2000,50,2,"4-Others","LEHS",604.0239,26.11765,2.666667,39.28571,53.26316,7,9,3.5,12.9375,15.75,4,431.983
2000,50,2,"4-Others","SomeC",205.7908,4.352941,0,7.857143,23.15789,1,0,3.5,2.875,12.6,7,142.5212
2000,50,2,"4-Others","College",259.1852,6.529412,1.333333,7.857143,11.57895,2,0,0,7.1875,13.65,3,205.4958
2000,55,1,"1-WNH","LEHS",30739.06,943.9452,7,910.9286,7634.81,98.05264,246.7864,301,631.9224,627.2687,683.4523,18652.52
2000,55,1,"1-WNH","SomeC",8299.063,280.8075,3,258.8955,2081.443,25.57895,90.52427,81.58974,168.3669,163.3062,180.3105,4964.361
2000,55,1,"1-WNH","College",9216.872,273.2473,5,247.1759,2070.747,38.36842,106.6893,90.41026,242.7107,191.4251,301.2372,5652.116
2000,55,1,"2-BNH","LEHS",8561.229,204.3219,3.5,331.0357,1759.04,68.52055,223.745,123.2479,175.2568,138.58,32.29546,5502.818
2000,55,1,"2-BNH","SomeC",1284.695,17.12195,2.333333,70.85714,268.6163,10.10959,35.56972,9.57265,21.9071,14.64667,12.25,820.7053
2000,55,1,"2-BNH","College",803.0766,12.5561,1.166667,32.10714,164.3433,3.369863,28.68526,7.179487,13.83607,15.77333,4.454545,519.4769
2000,55,1,"3-Hisp","LEHS",3062.906,261.9964,2.666667,203.4416,611.157,10,29.6,59.42857,62.30769,87.11111,41.29412,1694.448
2000,55,1,"3-Hisp","SomeC",341.029,24.39643,0,21.90909,94.83471,2,2.114286,3.428571,8.076923,5.444445,7.411765,171.0284
2000,55,1,"3-Hisp","College",252.0649,10.60714,1.333333,15.64935,59.00826,1,5.285714,1.142857,4.615385,5.444445,5.294117,142.5237
2000,55,1,"4-Others","LEHS",1076.809,39.53704,4.8,53.26027,226.882,8.727273,9.230769,19.04762,30.71428,22.62857,20.72727,640.5447
2000,55,1,"4-Others","SomeC",270.0715,13.55556,0,9.986301,64.49438,2.181818,4.615385,4.761905,1.228571,3.771429,5.757576,159.5581
2000,55,1,"4-Others","College",518.1199,7.907407,1.2,17.75343,118.6236,1.090909,6.153846,1.190476,11.05714,17.6,11.51515,324.8972
2000,55,2,"1-WNH","LEHS",20993.58,426.4428,6.666667,796.5905,2961.448,96.94915,154.8495,80.3,244.9386,304.6867,193.9318,15729.07
2000,55,2,"1-WNH","SomeC",5841.042,118.7562,1.333333,205.0523,668.0924,20.9322,34.76213,25.3,62.86034,99.44635,84.31818,4519.467
2000,55,2,"1-WNH","College",4681.376,105.801,0,107.3572,355.4594,12.11864,27.38835,26.4,80.20112,88.86695,92.75,3783.467
2000,55,2,"2-BNH","LEHS",5324.331,94.16666,3.75,360.5251,879.8063,44.48936,156.7919,24.35714,62.08571,33.48,4.888889,3658.862
2000,55,2,"2-BNH","SomeC",1276.034,13.29412,1.25,58.63962,188.6078,2.170213,39.47208,4.428571,12.88571,10.8,4.888889,940.3772
2000,55,2,"2-BNH","College",715.6358,5.539216,0,35.83532,79.58595,4.340425,19.73604,2.214286,7.028572,9.72,1.222222,550.7608
